Age	Attrition	BusinessTravel	Department	DistanceFromHome	Education	EnvironmentSatisfaction	Gender	JobInvolvement	JobRole	JobSatisfaction	MaritalStatus	MonthlyIncome	NumCompaniesWorked	OverTime	RelationshipSatisfaction	TotalWorkingYears	TrainingTimesLastYear	WorkLifeBalance	PCA_Years	PCA_Performance_and_Percent
44	0	Travel_Rarely	Research & Development	7	4	1	Female	2	Healthcare Representative	4	Married	10248	3	No	4	24	4	3	3.7761682477	-0.5351519103
46	0	Travel_Rarely	Sales	2	4	2	Female	3	Manager	1	Single	18947	3	No	4	22	2	2	-1.222226456	-0.921687131
33	0	Travel_Rarely	Research & Development	2	3	3	Male	3	Laboratory Technician	4	Single	2496	4	No	4	7	3	3	-1.8671778662	-1.1149547413
44	0	Travel_Rarely	Research & Development	10	4	4	Male	3	Healthcare Representative	4	Married	6465	2	Yes	4	9	5	4	-0.9000583538	-0.7284195206
30	0	Travel_Rarely	Research & Development	9	2	4	Male	2	Laboratory Technician	3	Single	2206	1	No	1	10	5	3	0.0521568134	-0.7284195206
39	1	Travel_Rarely	Sales	5	3	4	Male	3	Sales Representative	4	Married	2086	3	No	3	19	6	4	-2.0085850468	-0.5351519103
24	1	Travel_Rarely	Research & Development	1	3	2	Male	3	Research Scientist	4	Married	2293	2	Yes	1	6	2	2	-1.6474678095	-0.1486166896
43	0	Travel_Rarely	Research & Development	2	2	4	Female	4	Research Scientist	3	Divorced	2645	1	No	4	6	3	2	-0.5290750864	-0.921687131
50	1	Travel_Rarely	Sales	3	2	1	Male	2	Sales Representative	3	Married	2683	1	Yes	3	3	2	3	-1.266618512	-0.5351519103
35	0	Travel_Rarely	Sales	2	3	4	Female	3	Sales Representative	4	Married	2014	1	No	1	2	3	3	-1.0797994639	-0.7284195206
36	0	Travel_Rarely	Research & Development	5	4	2	Female	2	Research Scientist	1	Married	3419	9	Yes	4	6	3	4	-1.8671778662	-0.5351519103
33	0	Travel_Frequently	Sales	1	3	3	Female	4	Sales Executive	1	Married	5376	2	No	1	10	3	3	-0.6715020785	0.4311861414
35	0	Travel_Rarely	Research & Development	4	2	3	Male	3	Laboratory Technician	4	Divorced	1951	1	No	3	1	3	3	-2.0085850468	-0.921687131
27	0	Travel_Rarely	Research & Development	2	4	4	Female	3	Laboratory Technician	1	Divorced	2341	1	No	4	1	6	3	-2.0085850468	-0.7284195206
26	1	Travel_Rarely	Research & Development	25	3	1	Male	1	Laboratory Technician	3	Single	2293	1	No	3	1	2	2	-1.8661580547	-0.921687131
27	0	Travel_Frequently	Sales	8	3	4	Male	3	Sales Executive	3	Single	8726	1	No	4	9	0	3	0.9538381718	-0.3418843
30	0	Travel_Frequently	Research & Development	1	2	3	Female	3	Laboratory Technician	4	Single	4011	1	No	4	12	2	3	1.4892535985	3.1646260383
41	1	Travel_Rarely	Research & Development	12	3	2	Female	3	Research Director	3	Married	19545	1	No	4	23	0	3	5.136830658	-0.921687131
34	0	Non-Travel	Sales	23	4	2	Male	3	Sales Executive	3	Single	4568	0	No	3	10	2	3	1.4885051295	2.5848232073
37	0	Travel_Rarely	Research & Development	19	2	2	Male	3	Research Scientist	2	Married	3022	4	No	1	8	1	3	-2.0085850468	2.7780908176
46	0	Travel_Frequently	Sales	5	4	1	Male	3	Sales Executive	4	Single	5772	4	Yes	3	14	4	3	0.6764667313	2.7780908176
35	0	Travel_Rarely	Research & Development	8	1	4	Male	4	Laboratory Technician	4	Married	2269	1	No	4	1	2	3	-1.8661580547	0.4311861414
48	1	Travel_Rarely	Research & Development	1	2	1	Male	2	Laboratory Technician	3	Single	5381	9	Yes	4	23	2	3	-2.0085850468	-0.7284195206
28	1	Travel_Rarely	Research & Development	5	4	3	Male	3	Laboratory Technician	3	Single	3441	1	Yes	3	2	3	2	-1.0797994639	-0.7284195206
44	0	Travel_Rarely	Sales	1	5	2	Female	3	Sales Executive	1	Divorced	5454	5	Yes	3	9	2	2	-0.7586511732	2.7780908176
35	0	Non-Travel	Research & Development	11	2	3	Male	2	Healthcare Representative	1	Married	9884	2	Yes	3	10	3	3	-1.0458886438	-0.7284195206
26	0	Travel_Rarely	Sales	23	3	3	Female	2	Sales Executive	4	Married	4157	7	Yes	3	5	2	2	-1.6386215909	0.4311861414
33	0	Travel_Frequently	Research & Development	1	2	1	Female	3	Research Director	4	Single	13458	1	Yes	3	15	1	3	3.9961992839	-0.921687131
35	0	Travel_Frequently	Sales	18	5	2	Male	3	Sales Executive	1	Married	9069	1	No	4	9	3	2	1.096265164	2.971358428
35	0	Travel_Rarely	Research & Development	23	4	3	Female	3	Laboratory Technician	1	Married	4014	3	Yes	3	4	3	3	-1.0797994639	-0.3418843
31	0	Travel_Rarely	Research & Development	7	4	4	Male	3	Laboratory Technician	4	Divorced	5915	3	No	4	10	3	2	0.6381328019	2.971358428
37	0	Travel_Rarely	Research & Development	1	4	1	Male	2	Manufacturing Director	3	Divorced	5993	1	No	3	7	2	4	0.2183343692	0.2379185311
32	0	Travel_Rarely	Research & Development	1	3	1	Male	3	Manufacturing Director	4	Married	6162	1	Yes	2	9	3	3	1.9181695922	2.971358428
38	0	Travel_Frequently	Research & Development	29	5	4	Female	3	Laboratory Technician	4	Single	2406	1	No	4	10	2	3	1.7146779184	-1.1149547413
50	0	Travel_Rarely	Research & Development	7	2	2	Female	2	Research Director	3	Divorced	18740	5	Yes	4	29	2	2	3.6017218206	-0.921687131
59	0	Travel_Rarely	Sales	25	3	1	Female	3	Sales Executive	1	Single	7637	7	No	4	28	3	2	4.2376431652	-1.1149547413
36	0	Travel_Rarely	Research & Development	8	3	3	Female	3	Healthcare Representative	3	Divorced	10096	1	No	2	17	2	3	4.14872579	-0.7284195206
55	0	Travel_Rarely	Research & Development	8	3	4	Female	3	Manager	3	Divorced	14756	2	Yes	3	21	2	3	-1.375134684	-0.5351519103
36	0	Travel_Frequently	Research & Development	11	3	2	Male	2	Manufacturing Director	2	Single	6499	1	No	3	6	3	3	-0.438522694	-0.7284195206
45	0	Travel_Rarely	Research & Development	7	3	2	Male	3	Research Scientist	1	Divorced	9724	2	No	3	25	2	3	-2.0085850468	0.0446509207
35	0	Travel_Frequently	Research & Development	1	3	2	Male	3	Research Scientist	1	Married	2194	4	No	4	5	2	2	-1.1296344406	-0.7284195206
36	1	Travel_Rarely	Research & Development	9	3	4	Male	2	Research Scientist	3	Married	3388	0	Yes	1	2	0	2	-2.0085850468	0.0446509207
59	0	Travel_Frequently	Sales	1	1	1	Female	2	Sales Executive	3	Single	5473	7	No	4	20	2	2	-0.7586511732	-1.1149547413
29	0	Travel_Rarely	Research & Development	2	3	3	Male	3	Research Scientist	2	Married	2703	0	No	4	6	3	3	-0.5246519771	3.1646260383
31	0	Travel_Rarely	Research & Development	1	4	3	Male	3	Research Scientist	2	Single	2501	1	No	2	1	4	3	-1.7301937948	0.0446509207
32	0	Travel_Rarely	Research & Development	1	3	2	Male	3	Research Scientist	2	Married	6220	1	No	2	10	3	3	0.6232284568	0.0446509207
36	0	Travel_Rarely	Research & Development	6	3	2	Female	4	Laboratory Technician	4	Married	3038	3	No	2	5	3	3	-2.0085850468	-0.921687131
31	0	Travel_Rarely	Research & Development	8	4	3	Female	3	Manufacturing Director	4	Single	4424	1	No	4	11	2	3	1.1291561726	3.1646260383
35	0	Travel_Rarely	Sales	1	4	3	Male	2	Sales Executive	1	Single	4312	0	No	2	16	2	3	2.4631797064	-0.5351519103
45	0	Travel_Rarely	Research & Development	6	4	4	Male	3	Research Director	1	Married	13245	4	Yes	2	17	3	4	-2.0957341415	-0.5351519103
37	0	Travel_Rarely	Research & Development	7	4	1	Male	3	Research Director	3	Single	13664	4	No	1	16	3	4	-1.0923203227	-0.7284195206
46	0	Travel_Rarely	Human Resources	5	2	2	Male	3	Human Resources	2	Divorced	5021	8	Yes	4	16	2	3	-1.1794694173	2.971358428
30	0	Travel_Rarely	Research & Development	1	1	4	Male	2	Laboratory Technician	4	Married	5126	1	Yes	3	10	1	2	0.3179664642	-0.921687131
35	0	Travel_Rarely	Research & Development	1	3	2	Male	2	Research Scientist	3	Single	2859	1	No	1	6	3	3	-0.4375028825	0.2379185311
55	0	Travel_Rarely	Sales	1	2	1	Male	3	Sales Executive	4	Married	10239	3	No	4	24	4	3	-1.8716009755	-0.5351519103
38	0	Non-Travel	Research & Development	6	3	2	Female	1	Research Scientist	4	Divorced	5329	7	Yes	4	17	3	3	2.0115100766	-0.921687131
34	0	Travel_Rarely	Research & Development	1	2	1	Male	3	Manufacturing Director	2	Married	4325	1	No	3	5	2	3	-0.8129092592	-0.3418843
56	0	Travel_Rarely	Research & Development	7	3	4	Male	1	Manufacturing Director	4	Single	7260	4	No	1	37	3	2	-0.7223568668	-1.1149547413
23	0	Travel_Rarely	Sales	2	1	3	Male	3	Sales Representative	1	Divorced	2322	3	No	3	3	3	3	-2.0957341415	-0.7284195206
51	0	Travel_Rarely	Research & Development	9	4	4	Male	3	Laboratory Technician	4	Married	2075	3	No	2	10	4	3	-1.0370424252	3.1646260383
30	0	Travel_Rarely	Research & Development	2	3	3	Male	2	Healthcare Representative	4	Married	4152	1	No	1	11	3	3	2.7862343569	0.4311861414
46	1	Travel_Rarely	Sales	9	2	3	Male	2	Sales Executive	4	Single	9619	1	No	4	9	3	3	1.3647903859	-0.1486166896
40	0	Travel_Frequently	Research & Development	1	4	3	Male	2	Healthcare Representative	2	Married	13503	1	No	4	22	3	2	3.3192891811	2.971358428
51	0	Travel_Rarely	Sales	21	4	3	Male	3	Sales Executive	4	Single	5441	0	Yes	4	11	2	1	-0.0974088592	2.971358428
30	0	Travel_Rarely	Sales	4	2	3	Female	2	Sales Executive	2	Divorced	5209	1	Yes	2	11	4	2	1.2651204325	-0.921687131
46	0	Travel_Frequently	Research & Development	1	3	3	Male	2	Healthcare Representative	1	Married	10673	2	Yes	3	21	5	2	1.9934130338	-0.7284195206
32	0	Travel_Rarely	Sales	6	4	2	Male	3	Sales Executive	3	Single	5010	1	No	1	12	0	3	1.6760726466	-0.1486166896
54	0	Travel_Rarely	Research & Development	2	4	1	Female	3	Research Director	3	Married	13549	9	No	1	16	5	1	-0.8956352445	-0.921687131
24	0	Travel_Rarely	Sales	3	2	1	Female	3	Sales Executive	3	Married	4999	0	No	1	4	2	2	-1.266618512	2.7780908176
28	0	Non-Travel	Sales	4	3	2	Male	3	Sales Executive	3	Married	4221	1	No	2	5	3	4	-0.5246519771	-0.3418843
58	0	Travel_Rarely	Sales	10	4	4	Male	3	Sales Executive	3	Single	13872	0	No	3	38	1	2	3.8192541751	-0.7284195206
44	0	Non-Travel	Research & Development	23	3	2	Male	3	Laboratory Technician	2	Married	2042	4	No	3	17	3	4	-1.1296344406	-0.921687131
37	1	Travel_Rarely	Human Resources	6	4	3	Male	3	Human Resources	1	Divorced	2073	4	Yes	4	7	3	3	-1.266618512	2.971358428
32	0	Travel_Rarely	Research & Development	1	1	4	Male	3	Research Scientist	1	Single	2956	1	No	4	1	2	3	-2.0085850468	-0.7284195206
20	1	Travel_Frequently	Research & Development	6	3	4	Female	2	Laboratory Technician	4	Single	2926	1	Yes	2	1	5	3	-1.8716009755	0.2379185311
34	0	Travel_Rarely	Research & Development	6	4	1	Female	3	Research Scientist	3	Single	4809	1	No	3	16	3	3	2.8351827853	-0.5351519103
37	0	Non-Travel	Research & Development	2	2	3	Male	2	Healthcare Representative	4	Divorced	5163	5	No	4	17	2	4	-2.0085850468	-0.5351519103
59	0	Non-Travel	Human Resources	2	4	3	Female	2	Manager	4	Married	18844	9	No	4	30	3	3	-0.9926503692	2.7780908176
50	0	Travel_Frequently	Research & Development	1	3	1	Female	3	Research Director	2	Married	18172	3	Yes	1	28	1	2	0.0226691026	0.4311861414
25	1	Travel_Rarely	Sales	5	3	3	Male	2	Sales Executive	3	Single	5744	1	Yes	4	6	1	3	-0.5799298746	-1.1149547413
25	0	Travel_Rarely	Research & Development	7	1	4	Male	2	Research Scientist	4	Married	2889	1	No	3	2	2	3	-1.222226456	-1.1149547413
22	0	Travel_Rarely	Research & Development	15	3	2	Female	3	Laboratory Technician	4	Single	2871	1	No	3	1	5	3	-2.0957341415	-0.3418843
51	0	Travel_Frequently	Research & Development	1	4	1	Female	2	Healthcare Representative	1	Single	7484	3	No	3	23	1	2	3.5173150502	2.5848232073
34	1	Travel_Frequently	Research & Development	7	3	1	Male	1	Laboratory Technician	3	Single	6074	1	Yes	4	9	3	3	0.5330199277	3.3578936487
54	0	Non-Travel	Human Resources	26	3	4	Female	4	Manager	4	Single	17328	2	Yes	3	23	3	3	-0.1181228723	-0.921687131
24	0	Travel_Rarely	Research & Development	18	1	2	Male	3	Laboratory Technician	3	Married	2774	0	No	3	6	2	3	-0.8139290707	-0.921687131
34	0	Travel_Rarely	Research & Development	6	4	3	Female	2	Research Scientist	2	Divorced	4505	6	No	3	12	3	3	-2.0085850468	-0.3418843
37	0	Travel_Rarely	Sales	3	3	3	Male	3	Sales Executive	4	Single	7428	2	No	1	12	3	3	-0.6715020785	-0.921687131
34	0	Travel_Rarely	Research & Development	5	3	3	Female	2	Manager	1	Single	11631	2	No	4	14	6	3	2.101314	-0.921687131
36	0	Travel_Frequently	Sales	11	2	2	Female	3	Sales Executive	4	Married	9738	0	No	3	10	6	3	1.0918420547	-0.5351519103
36	0	Travel_Rarely	Research & Development	3	2	1	Female	3	Laboratory Technician	4	Divorced	2835	5	No	1	7	2	3	-2.0085850468	2.971358428
43	0	Travel_Frequently	Sales	26	2	3	Male	3	Manager	4	Married	16959	1	Yes	4	25	3	4	4.0369395834	-0.921687131
30	0	Travel_Frequently	Research & Development	23	3	1	Male	1	Research Scientist	3	Divorced	2613	1	No	3	10	2	2	1.0474499987	3.551161259
33	0	Non-Travel	Sales	22	2	3	Male	3	Sales Executive	2	Married	6146	0	No	1	8	2	4	0.5011487306	-0.7284195206
56	1	Travel_Rarely	Research & Development	14	4	2	Female	3	Research Scientist	2	Married	4963	9	Yes	1	7	2	3	-0.1191426838	0.2379185311
51	0	Travel_Rarely	Research & Development	6	3	1	Male	3	Research Director	3	Single	19537	7	No	3	23	5	3	6.3837429556	-0.7284195206
31	1	Travel_Rarely	Sales	6	4	2	Male	1	Sales Executive	3	Married	6172	4	Yes	2	12	3	2	1.4600372301	0.2379185311
26	0	Travel_Rarely	Research & Development	6	3	3	Female	2	Research Scientist	2	Married	2368	1	No	3	5	3	2	-0.1191426838	0.4311861414
58	1	Travel_Rarely	Research & Development	23	4	4	Female	3	Healthcare Representative	4	Married	10312	1	No	4	40	3	2	5.7136244739	-0.921687131
19	1	Travel_Rarely	Sales	22	1	4	Male	3	Sales Representative	3	Single	1675	1	Yes	4	0	2	2	-2.0957341415	0.4311861414
22	0	Travel_Rarely	Research & Development	2	1	3	Male	3	Laboratory Technician	4	Married	2523	0	No	3	3	2	3	-1.3636336367	-0.5351519103
49	0	Travel_Rarely	Research & Development	20	4	3	Female	3	Manufacturing Director	1	Married	6567	1	No	3	16	2	2	3.0185985357	-0.5351519103
43	0	Travel_Frequently	Research & Development	28	3	2	Female	4	Research Scientist	3	Single	4739	4	No	4	18	2	3	-1.1296344406	-0.921687131
50	0	Travel_Frequently	Sales	12	3	3	Female	3	Sales Executive	4	Single	9208	4	No	4	16	3	3	-1.222226456	-1.1149547413
31	1	Travel_Rarely	Sales	20	3	2	Female	1	Sales Executive	3	Married	4559	3	Yes	3	4	2	3	-1.0797994639	-1.1149547413
41	0	Travel_Rarely	Sales	9	1	3	Male	3	Sales Executive	3	Divorced	8189	3	Yes	3	12	2	3	0.6754469198	-0.7284195206
26	0	Travel_Rarely	Human Resources	25	1	3	Female	3	Human Resources	3	Married	2942	1	No	4	8	3	3	1.273218182	3.1646260383
36	0	Travel_Rarely	Research & Development	6	2	2	Male	3	Manufacturing Director	2	Divorced	4941	6	No	4	7	0	3	-1.4090455041	2.5848232073
51	1	Travel_Frequently	Research & Development	8	4	1	Male	1	Manufacturing Director	4	Single	10650	2	No	4	18	2	3	-1.0370424252	-0.3418843
39	0	Travel_Rarely	Sales	4	4	4	Female	2	Sales Executive	3	Married	5902	4	No	3	17	1	4	2.7337445514	-0.5351519103
25	0	Travel_Rarely	Sales	28	3	1	Male	2	Sales Executive	3	Married	8639	2	No	4	6	3	3	-1.0797994639	0.2379185311
30	0	Travel_Rarely	Human Resources	9	3	3	Male	3	Human Resources	4	Married	6347	0	Yes	4	12	2	1	1.6804957559	0.4311861414
32	1	Travel_Rarely	Research & Development	9	3	1	Female	3	Laboratory Technician	1	Single	4200	7	No	1	10	2	4	-0.5246519771	2.971358428
45	0	Travel_Rarely	Research & Development	29	3	3	Male	3	Research Scientist	4	Single	3452	5	No	2	9	2	2	-0.438522694	-0.7284195206
38	0	Travel_Rarely	Research & Development	3	5	4	Female	3	Research Scientist	3	Single	4317	3	Yes	2	19	2	3	-0.9926503692	2.5848232073
30	0	Travel_Rarely	Research & Development	18	3	1	Female	3	Research Scientist	3	Single	2632	1	No	3	5	4	2	-0.5246519771	-0.5351519103
32	0	Travel_Frequently	Sales	9	2	4	Male	1	Sales Executive	4	Divorced	4668	0	No	4	9	2	4	0.5882978252	0.0446509207
30	0	Travel_Rarely	Research & Development	5	3	4	Female	3	Research Scientist	1	Divorced	3204	5	No	4	8	3	3	-0.9926503692	-0.5351519103
30	0	Travel_Rarely	Research & Development	2	1	2	Male	2	Laboratory Technician	4	Single	2720	0	No	4	6	3	3	-0.8139290707	-0.7284195206
41	0	Travel_Frequently	Research & Development	10	3	4	Male	2	Manager	1	Divorced	17181	4	No	2	21	2	2	1.3186300495	-0.7284195206
41	0	Travel_Rarely	Research & Development	9	4	3	Male	3	Laboratory Technician	1	Married	2238	2	No	4	7	2	3	-0.9532966283	2.7780908176
19	0	Travel_Rarely	Research & Development	3	1	2	Female	3	Laboratory Technician	2	Single	1483	1	No	4	1	3	3	-2.0085850468	-0.5351519103
40	0	Travel_Frequently	Research & Development	26	3	2	Female	3	Research Scientist	2	Divorced	5605	1	No	1	20	2	3	2.7626170564	-1.1149547413
35	0	Travel_Rarely	Sales	1	5	3	Male	3	Sales Executive	2	Married	7295	1	No	1	10	3	3	0.761576203	-0.7284195206
53	0	Travel_Rarely	Sales	6	2	2	Male	3	Sales Representative	3	Married	2306	2	Yes	4	13	3	1	0.7642310317	2.5848232073
45	0	Travel_Rarely	Research & Development	9	3	2	Male	3	Laboratory Technician	2	Divorced	2348	8	No	3	20	2	1	2.7948699753	0.2379185311
32	0	Travel_Frequently	Sales	8	3	2	Female	3	Sales Executive	4	Single	8998	1	No	4	9	2	3	1.2278063146	-0.5351519103
29	0	Non-Travel	Research & Development	1	1	4	Male	3	Manufacturing Director	3	Married	4319	1	No	1	10	1	3	1.0474499987	-0.7284195206
51	0	Travel_Rarely	Research & Development	7	4	2	Male	2	Manufacturing Director	3	Married	6132	2	No	3	10	2	3	-2.0085850468	0.0446509207
58	0	Travel_Rarely	Research & Development	9	3	2	Female	2	Research Scientist	2	Married	3346	4	Yes	2	9	3	2	-2.0085850468	2.5848232073
40	0	Travel_Rarely	Sales	4	4	3	Male	2	Sales Executive	4	Married	10855	7	No	1	15	2	2	2.3461990376	-1.1149547413
34	0	Travel_Frequently	Sales	2	4	3	Female	3	Sales Representative	3	Married	2231	6	No	4	6	3	3	-0.9010781653	0.2379185311
22	0	Travel_Rarely	Research & Development	19	1	3	Male	3	Research Scientist	4	Married	2323	1	No	1	2	6	3	-1.0797994639	3.3578936487
27	0	Non-Travel	Research & Development	9	3	4	Male	3	Research Scientist	2	Divorced	2024	6	No	4	6	1	1	-1.0797994639	0.2379185311
28	0	Travel_Rarely	Research & Development	21	3	3	Male	3	Research Scientist	4	Married	2713	1	No	3	5	2	1	-1.0923203227	-1.1149547413
57	0	Travel_Rarely	Research & Development	24	2	3	Male	4	Healthcare Representative	4	Divorced	9439	3	Yes	2	12	2	1	-0.5290750864	-0.1486166896
27	0	Non-Travel	Research & Development	3	3	3	Male	2	Research Scientist	3	Divorced	2566	1	Yes	4	1	2	2	-1.724750874	-0.3418843
50	0	Travel_Rarely	Research & Development	11	3	3	Female	3	Manager	2	Single	19926	3	No	2	21	5	3	0.0232843084	-0.3418843
41	0	Travel_Rarely	Research & Development	14	3	1	Male	3	Research Scientist	3	Divorced	2451	4	No	1	13	2	3	1.096265164	-0.921687131
30	0	Travel_Rarely	Sales	5	3	2	Female	3	Sales Executive	4	Married	9419	2	No	3	12	2	3	1.5770178989	-0.921687131
38	0	Travel_Rarely	Sales	1	4	1	Female	2	Sales Executive	4	Single	8686	4	No	3	12	2	4	0.0226691026	2.971358428
32	0	Travel_Rarely	Research & Development	6	5	3	Male	3	Research Scientist	3	Single	3038	3	No	1	8	2	3	-0.3876679057	2.5848232073
27	0	Travel_Rarely	Research & Development	17	3	3	Male	3	Research Scientist	2	Married	3058	0	Yes	4	6	3	2	-1.0977632435	-0.1486166896
19	1	Travel_Frequently	Sales	1	1	3	Female	1	Sales Representative	1	Single	2325	0	No	1	1	5	4	-2.0957341415	2.7780908176
36	0	Travel_Frequently	Research & Development	3	2	4	Male	3	Laboratory Technician	2	Single	2088	4	No	3	13	3	2	0.8350513641	-0.921687131
30	0	Non-Travel	Research & Development	9	3	3	Male	3	Laboratory Technician	1	Divorced	3072	1	No	3	12	4	3	2.4688939697	-1.1149547413
45	0	Travel_Rarely	Sales	4	2	3	Female	3	Sales Executive	1	Divorced	5006	4	Yes	1	9	3	4	-0.6670789692	-1.1149547413
56	0	Travel_Rarely	Research & Development	8	3	3	Female	3	Research Scientist	1	Divorced	4257	4	Yes	3	19	3	3	-1.0797994639	0.2379185311
33	0	Travel_Rarely	Research & Development	2	3	3	Male	3	Research Scientist	4	Single	2500	0	No	1	4	2	4	-1.4080256926	-0.5351519103
19	1	Travel_Rarely	Research & Development	2	3	2	Male	2	Laboratory Technician	4	Single	1102	1	No	3	1	3	2	-1.8716009755	2.971358428
46	0	Travel_Rarely	Sales	1	2	2	Female	3	Sales Executive	1	Divorced	10453	1	No	3	24	2	3	4.8858874938	3.551161259
38	0	Travel_Rarely	Research & Development	9	2	3	Female	3	Laboratory Technician	4	Single	2288	1	No	3	2	3	3	-1.222226456	-0.921687131
31	0	Travel_Rarely	Research & Development	12	1	3	Female	3	Research Scientist	4	Married	3929	8	Yes	3	7	0	3	-1.1794694173	3.1646260383
34	0	Travel_Rarely	Research & Development	27	2	4	Female	3	Research Scientist	2	Single	2311	2	No	4	9	3	3	-1.1296344406	-0.3418843
41	1	Travel_Rarely	Sales	20	2	2	Female	3	Sales Representative	2	Single	3140	1	Yes	4	4	5	2	-1.0380622367	2.971358428
50	0	Travel_Rarely	Research & Development	1	3	3	Male	2	Laboratory Technician	3	Married	3690	2	No	4	5	2	2	-1.266618512	-0.3418843
53	0	Travel_Rarely	Research & Development	13	2	4	Female	4	Manufacturing Director	1	Divorced	4450	1	No	3	5	3	3	-0.9000583538	-1.1149547413
33	0	Travel_Rarely	Research & Development	14	3	4	Female	3	Research Scientist	2	Married	2756	1	No	4	8	5	3	0.5828549044	-0.7284195206
40	0	Travel_Rarely	Research & Development	4	1	4	Female	3	Manager	3	Married	19033	1	No	2	21	2	3	3.2932047681	-0.5351519103
55	0	Travel_Rarely	Research & Development	14	4	3	Male	4	Research Director	2	Single	18722	8	No	4	36	3	3	4.5273248645	-1.1149547413
